Date,High,Low,Close,Volume,Price,Change In Price,Divergence Factor 1,Divergence Factor 2,Divergence Factor 3,Divergence Factor 4,Divergence Factor 1 Rank,Divergence Factor 2 Rank,Divergence Factor 3 Rank,Divergence Factor 4 Rank,DF Avg Rank,% Rank of DF Avgs,RSI,MACD,WPCTR,CCI,CCI Percentile,PNL Percentile,pdi,mdi,adx
2019-03-11 17:00:00+00:00,114.92299999999999,114.67299999999999,114.915,2850,114.915,0.0008880067445218008,0.024553315622232674,-0.06744668437776732,-0.003341876326921573,0.580093023255814,1.0,1.0,1.0,1.0,1.0,1.0,57.26141078838207,0.0840501440555812,-14.571092831961609,85.67030147530552,0.672093023255814,0.092,28.967272869949802,19.608716427008012,24.890057203069883
2019-03-12 17:00:00+00:00,115.01700000000001,114.853,114.92299999999999,2894,114.92299999999999,6.961425006491761e-05,-0.03981872167526179,-0.1338187216752618,-0.001961032840983425,0.6548372093023256,0.0,0.0,1.0,1.0,0.5,0.0,61.959287531806275,0.09611735718996783,-13.631022326675918,100.18828011651114,0.7488372093023256,0.094,30.623010147017425,18.463492037447125,24.881596866937066
2019-03-13 17:00:00+00:00,114.984,114.806,114.90799999999999,2759,114.90799999999999,-0.00013053069447807212,0.05617283950617283,-0.03382716049382717,-0.001749346736477661,0.5495348837209303,1.0,1.0,1.0,0.0,0.75,0.5,57.162823200559146,0.10327979076033955,-15.393654524090763,79.14684082309859,0.6395348837209303,0.09,28.666100056746707,18.970947951818562,24.55806324431203
2019-03-14 17:00:00+00:00,115.111,114.848,115.00200000000001,2330,115.00200000000001,0.0008177113238901977,-0.03088503411991461,-0.13088503411991462,-0.0042602139880519845,0.6069767441860465,0.33333333333333337,0.33333333333333337,0.0,0.6666666666666667,0.33333333333333337,0.0,63.73165618448692,0.11521298183956219,-11.809317443119475,89.83631374775419,0.7069767441860465,0.1,30.477230918497128,17.21998779735321,24.789243238313674
2019-03-15 17:00:00+00:00,115.04899999999999,114.979,115.041,468,115.041,0.0003390670472356847,-0.10264103766213473,-0.2066410376621347,-0.002960115113023001,0.5843720930232559,0.0,0.0,0.5,0.5,0.25,0.0,73.32305319969126,0.12636049072683875,-7.583965330444872,88.10260699846295,0.6883720930232559,0.104,29.69172469429292,16.77616769992657,25.003910375600917
2019-03-17 17:00:00+00:00,115.081,114.948,114.97200000000001,1180,114.97200000000001,-0.0005999661068700889,-0.10667812679064442,-0.20467812679064443,-0.002174084703478036,0.5182790697674419,0.0,0.2,0.6,0.0,0.2,0.0,74.76415094339622,0.12815001488948496,-15.0595882990242,74.71771040349891,0.6162790697674418,0.098,29.409612088200294,15.935768883798978,25.34033222763454
2019-03-18 17:00:00+00:00,115.027,114.855,114.956,2006,114.956,-0.00013917400252109894,-0.1314215762879617,-0.2274215762879617,-0.003028015955301614,0.4226046511627908,0.0,0.0,0.33333333333333337,0.0,0.08333333333333334,0.0,78.85572139303501,0.12681531142843028,-16.79306608884057,54.248437009685276,0.5186046511627908,0.096,27.491588280361036,18.42277608753581,24.94113560622031
2019-03-19 17:00:00+00:00,115.051,114.87799999999999,115.00399999999999,1756,115.00399999999999,0.0004174639128291432,-0.12105537323540139,-0.22305537323540137,-0.0020979585476936452,0.48172093023255813,0.14285714285714288,0.14285714285714288,0.7142857142857143,0.14285714285714288,0.2857142857142857,0.42857142857142855,77.33333333333346,0.12815347468341542,-12.529274004685437,64.66690587250449,0.5837209302325581,0.102,26.593001697720993,17.20721282198262,24.690242832503053
2019-03-20 17:00:00+00:00,115.49600000000001,114.988,115.363,5010,115.363,0.0031167683793059263,-0.1401859665572746,-0.2681859665572746,-0.005759653253001,0.9045581395348837,0.0,0.0,0.0,1.0,0.25,0.375,87.84846318799131,0.15637963136826727,-11.083333333334123,220.267338512141,1.0325581395348837,0.128,37.124534182203156,14.236684786803997,26.109690634212946
2019-03-21 17:00:00+00:00,115.863,115.26,115.711,4639,115.711,0.0030120243999445205,-0.10429494191800803,-0.276294941918008,-0.009744784352938815,0.8861395348837211,0.4444444444444444,0.0,0.0,0.8888888888888888,0.3333333333333333,0.5555555555555556,88.45892735913101,0.20447272129095495,-11.411411411411542,301.36634933165186,1.058139534883721,0.172,41.41595109154405,11.662920725922636,28.248596729145117
